identifier,type,id,construction/disused,latitude,longitude,operator,access,opening_hours,network,addr:street,addr:city,addr:postcode,addr:country,phone,website,socket:chademo,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:tesla_destination,socket:tesla_destination:current,socket:tesla_destination:output,socket:tesla_destination:voltage,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:current,socket:tesla_supercharger_ccs:output,socket:tesla_supercharger_ccs:voltage,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,socket:type2_combo,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage
FAR-00045,unassigned_point,node/12101523365,no,37.0187007,-7.938404,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00046,unassigned_point,node/11910670617,no,37.0230942,-7.9304938,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00047,unassigned_point,node/11895647857,no,37.0207988,-7.9375651,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00048,unassigned_point,node/11829164594,no,37.0179459,-7.9249668,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00049,unassigned_point,node/12050811582,no,37.0144125,-7.9272264,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00050,unassigned_point,node/11895647856,no,37.0141506,-7.9264904,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00051/52 -> FAR-00051,child_point,child/node/13029269259,no,37.027776249999995,-7.919609450000001,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00051/52 -> FAR-00052,child_point,child/node/11980639519,no,37.027776249999995,-7.919609450000001,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,188,150 kW,1000
FAR-00053,unassigned_point,node/11829164593,no,37.0283908,-7.9283607,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00054,unassigned_point,node/11831602323,no,37.0332551,-7.9597622,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00055;FAR-00056;FAR-00057 -> FAR-00055,child_point,child/node/11670188438,no,37.130641901575586,-8.580382130338949,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00055;FAR-00056;FAR-00057 -> FAR-00056,child_point,child/node/11670188437,no,37.130641901575586,-8.580382130338949,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
FAR-00055;FAR-00056;FAR-00057 -> FAR-00057,child_point,child/node/12947057365,no,37.130641901575586,-8.580382130338949,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00059,unassigned_point,node/11698743561,no,37.0456122,-7.9684927,Luzigás,yes,24/7,Mobi.E,,,,PT,+351 808 203 825,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00060,unassigned_point,node/12343627019,no,37.0450597,-7.967168,Powerdot,yes,24/7,Mobi.E,,,,,+351 800 180 292,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,200,150 kW,1000
FAR-00062,unassigned_point,node/11861937009,no,37.0118334,-7.9311756,Powerdot,yes,24/7,Mobi.E,,,,,+351 800 180 292,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,200,140 kW,1000
FAR-00063,unassigned_point,node/12059982439,no,37.1063592,-8.3829226,Cepsa,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,300 kW,1000
FAR-00064,child_point,child/node/12259307896,no,37.06087873553991,-7.966910894126288,Powerdot,yes,Mo-Sa 07:00-18:00,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,113,90 kW,1000
FAR-00064,child_point,child/node/12736616336,no,37.06087873553991,-7.966910894126288,Powerdot,yes,Mo-Sa 07:00-18:00,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113,90 kW,1000
FAR-00066…69 -> FAR-00066,child_point,child/node/12383182102,no,37.02759739822047,-7.94224196214026,EDP,yes,09:00-21:00,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
FAR-00066…69 -> FAR-00067,child_point,child/node/12471664955,no,37.02759739822047,-7.94224196214026,EDP,yes,09:00-21:00,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
FAR-00066…69 -> FAR-00068,child_point,child/node/11931765174,no,37.02759739822047,-7.94224196214026,EDP,yes,09:00-21:00,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,300,120 kW,1000
FAR-00066…69 -> FAR-00069,child_point,child/node/12343550833,no,37.02759739822047,-7.94224196214026,EDP,yes,09:00-21:00,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,60 kW,1000
FAR-00071,unassigned_point,node/12259301827,no,37.0315379,-7.9481042,EDP,yes,09:00-20:00,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-00072,unassigned_point,node/12090525397,no,37.0345627,-7.9295342,Evio,yes,24/7,Mobi.E,,,,PT,+351 308 803 746,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,250,180 kW,1000
FAR-00073,unassigned_point,node/12090525396,no,37.0334182,-7.9297535,Evio,yes,24/7,Mobi.E,,,,PT,+351 308 803 746,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,250,120 kW,1000
FAR-00074,unassigned_point,node/6905244952,no,37.0255135,-7.9174994,Charging Together,yes,24/7,Mobi.E,Avenida Cidade de Hayward,Faro,,PT,+351 800 917 576,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,50 kW,1000
FAR-00075,unassigned_point,node/11287170751,no,37.0286521,-7.9430501,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
FAR-00076,unassigned_point,node/12072355373,no,37.0139819,-7.9193842,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
FAR-00077,unassigned_point,node/12456293248,no,37.050766,-7.9514713,Powerdot,yes,24/7,Mobi.E,,,,,+351 800 180 292,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,375,150 kW,1000
FAR-00079,unassigned_point,node/13265255092,no,37.0319472,-7.9635849,Powerdot,yes,24/7,Mobi.E,,,,,+351 800 180 292,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,200,150 kW,1000
FAR-80006,child_point,child/node/7126770377,no,37.02878931253867,-7.924623502175924,Atlante,yes,24/7,Mobi.E,Estrada da Penha,Faro,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
FAR-80006,child_point,child/node/12735231631,no,37.02878931253867,-7.924623502175924,Atlante,yes,24/7,Mobi.E,Estrada da Penha,Faro,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
FAR-80008,child_point,child/node/7159220711,no,37.01231969445047,-7.932703172984594,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-90001,child_point,child/node/7126741218,no,37.01238815,-7.932713549999999,Powerdot,yes,24/7,Mobi.E,Largo de São Francisco,Faro,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
FAR-90001,child_point,child/node/12735262017,no,37.01238815,-7.932713549999999,Powerdot,yes,24/7,Mobi.E,Largo de São Francisco,Faro,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
FAR-90002,unassigned_point,node/7126780244,yes,37.0163576,-7.9358805,EDP,yes,24/7,Mobi.E,Avenida da Republica,Faro,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FAR-90003,unassigned_point,node/7126770380,no,37.0176838,-7.9388388,Galp Power,yes,24/7,Mobi.E,Avenida da Republica,Faro,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
FAR-90004,unassigned_point,node/7126770379,no,37.019596,-7.9283148,Galp Power,yes,24/7,Mobi.E,Largo Francisco Sá Carneiro,Faro,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
FAR-?????,child_point,child/node/12994671167,yes,37.044765600000005,-7.928438400000002,Repsol,yes,24/7,Mobi.E,,,,PT,+351 800 226 624,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,250,160 kW,1000
FAR-?????,child_point,child/node/13071091864,yes,37.044765600000005,-7.928438400000002,Repsol,yes,24/7,Mobi.E,,,,PT,+351 800 226 624,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,250,160 kW,1000
FCR-00002,unassigned_point,node/12205419877,no,40.8842278,-6.9653596,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FCR-90001,unassigned_point,node/8112873812,no,40.8948068,-6.9629294,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FCT-00003,unassigned_point,node/12542637974,no,38.6626125,-9.2062942,Mobiletric,private,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FCT-00004,unassigned_point,node/8279677299,no,38.6626115,-9.2061822,Mobiletric,private,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FEC-00003,unassigned_point,node/8968514561,no,41.0911187,-6.8122494,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FEC-90001,unassigned_point,node/8287664118,no,41.0878241,-6.808986,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FEUP-00001,unassigned_point,node/8228920294,no,41.1779616,-8.5985868,Galp Power,customers,24/7,Mobi.E,Rua Roberto Frias,Porto,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
FEUP-00002,unassigned_point,node/8228948667,no,41.1779742,-8.5986373,Galp Power,customers,24/7,Mobi.E,Rua Roberto Frias,Porto,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
FIG-00002,unassigned_point,node/8066793641,no,40.147852,-8.8540174,EV Power,yes,24/7,Mobi.E,Avenida Saraiva de Carvalho,Figueira da Foz,,PT,+351 800 254 565,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
FIG-00004,unassigned_point,node/8382102163,no,40.1478183,-8.8358094,Powerdot,yes,24/7,Mobi.E,Rua da Vidreira,Figueira da Foz,,PT,+351 800 180 292,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
FIG-00012,unassigned_point,node/8833237246,no,40.1653334,-8.8521705,Powerdot,yes,24/7,Mobi.E,,Figueira da Foz,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
FIG-00013,unassigned_point,node/8830380307,no,40.165358,-8.852176,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FIG-00016,unassigned_point,node/10229505399,no,40.1530716,-8.8600695,EV Power,customers,24/7,Mobi.E,,,,PT,+351 800 254 565,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FIG-00017,child_point,child/node/10075901096,no,40.16732663853134,-8.836556020395891,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,100 kW,500
FIG-00017,child_point,child/node/13184932085,no,40.16732663853134,-8.836556020395891,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,100 kW,500
FIG-00018,unassigned_point,node/10157924954,yes,40.1796265,-8.829128,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
FIG-00019,unassigned_point,node/10157924955,no,40.179554,-8.828377,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,120 kW,1000
FIG-00021,unassigned_point,node/10981449245,no,40.1587757,-8.8576284,Iberdrola,yes,09:00-21:30,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FIG-00023,unassigned_point,node/11251745185,no,40.119925,-8.8511428,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
FIG-00024,unassigned_point,node/10831642482,no,40.1494381,-8.8500169,Atlante,yes,09:00-21:00,Mobi.E,,,,,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,150,60 kW,500
FIG-00025,unassigned_point,node/9456391414,no,40.1631913,-8.8471485,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
FIG-00029,unassigned_point,node/12607375212,no,40.1757757,-8.8942601,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
FIG-00030,unassigned_point,node/12607375213,no,40.1757584,-8.8942003,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
FIG-00031/32 -> FIG-00031,child_point,child/node/11861626512,no,40.15911512943537,-8.864841216691286,Helexia II,yes,24/7,Mobi.E,,,,PT,+351 210 181 157,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,125,50 kW,1000
FIG-00031/32 -> FIG-00032,child_point,child/node/13231651265,no,40.15911512943537,-8.864841216691286,Helexia II,yes,24/7,Mobi.E,,,,PT,+351 210 181 157,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
FIG-00034,unassigned_point,node/12029888511,no,40.1503579,-8.8650448,Galp Power,customers,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
FIG-00035,unassigned_point,node/8779356631,no,40.1622475,-8.8478789,Charging Together,yes,24/7,Mobi.E,Avenida Dom João Alves,Figueira da Foz,,PT,+351 800 917 576,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,50 kW,1000
FIG-00036,unassigned_point,node/12728560981,no,40.084824,-8.824648,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,2,100,80 kW,1000
FIG-00037,unassigned_point,node/8989497394,no,40.121709,-8.8522469,Enable Mobility Solutions,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
FIG-00039,unassigned_point,node/8757714043,no,40.1569836,-8.8498949,Galp Power,yes,24/7,Mobi.E,,Figueira da Foz,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
FIG-00040,unassigned_point,node/12031823620,no,40.1668192,-8.8837653,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
FIG-00041,unassigned_point,node/13042767416,no,40.15735,-8.8491833,Prio.E,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,300,180 kW,1000
FIG-00042,unassigned_point,node/12569233031,no,40.1216738,-8.8522185,Enable Mobility Solutions,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,150 kW,1000
FIG-00043,unassigned_point,node/8851234256,no,40.166767,-8.860599,Evaz Energy,yes,08:30-22:00,Mobi.E,,,,,+351 800 913 723,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FIG-90003,unassigned_point,node/8109685925,no,40.1484016,-8.8673884,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FLG-00004,unassigned_point,node/9241550809,no,41.355321,-8.194633,Iberdrola,yes,09:00-21:30,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FLG-00005,unassigned_point,node/9455582849,no,41.3603468,-8.203598,Repsol,yes,24/7,Mobi.E,,,,PT,+351 800 226 624,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
FLG-00006,unassigned_point,node/9598091355,no,41.3589838,-8.2046809,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,200,90 kW,1000
FLG-00007,unassigned_point,node/9606389253,no,41.36262,-8.196949,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,200,90 kW,1000
FLG-00009,unassigned_point,node/10229505397,no,41.3560656,-8.1896454,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,2,200,100 kW,1000
FLG-00010,unassigned_point,node/10809116539,no,41.3667001,-8.2011082,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,120 kW,1000
FLG-00011/12 -> FLG-00011,child_point,child/node/11375147579,no,41.370433750000004,-8.202085799999999,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FLG-00011/12 -> FLG-00012,child_point,child/node/13038227616,no,41.370433750000004,-8.202085799999999,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FLG-00013,unassigned_point,node/11813592524,no,41.3630014,-8.2005193,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
FLG-00015,unassigned_point,node/11513771563,no,41.3607065,-8.1924547,Repsol,yes,24/7,Mobi.E,,,,,+351 800 226 624,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,150,60 kW,1000
FLG-00016,unassigned_point,node/11460839682,no,41.361007,-8.19923,Atlante,yes,24/7,Mobi.E,,,,,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,150,60 kW,500
FLG-00017 - BP,unassigned_point,node/11779036082,no,41.376804,-8.1743755,Charging Together,yes,24/7,Mobi.E,,,,PT,+351 800 917 576,https://www.mobie.pt/,1,200,80 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,150 kW,1000
FLG-00018,unassigned_point,node/11910670631,no,41.3209488,-8.1453424,Iberdrola,customers,24/7,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0
FLG-00020,unassigned_point,node/11822870202,no,41.3772631,-8.1727836,Prio.E,yes,24/7,Mobi.E,,,,PT,+351 800 100 303,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,90 kW,1000
FLG-00022,unassigned_point,node/11927011376,no,41.33626,-8.113513,Alfa Energia,customers,24/7,Mobi.E,,,,PT,+351 234 661 194,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FLG-00023,unassigned_point,node/12319393046,no,41.3164642,-8.143541,EDP,yes,09:00-20:00,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
FLG-00025,unassigned_point,node/8227701597,no,41.3160015,-8.1414861,Galp Power,yes,24/7,Mobi.E,,Lixa,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
FLG-00026,unassigned_point,node/12090525386,no,41.3614469,-8.1977577,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
FLG-00028,unassigned_point,node/13131265261,no,41.3137898,-8.1641541,Mota Engil II,yes,24/7,Mobi.E,,,,,+351 800 020 940,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,200 kW,1000
FLG-90002,unassigned_point,node/8309571666,no,41.3215101,-8.1454155,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
FNC-00040,unassigned_point,node/8082166425,no,32.6472363,-16.9038921,Emacom,yes,24/7,Mobi.E,,,,PT,+351 800 221 187,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,150 kW,1000
