identifier,type,id,construction/disused,latitude,longitude,operator,access,opening_hours,network,addr:street,addr:city,addr:postcode,addr:country,phone,website,socket:chademo,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:tesla_destination,socket:tesla_destination:current,socket:tesla_destination:output,socket:tesla_destination:voltage,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:current,socket:tesla_supercharger_ccs:output,socket:tesla_supercharger_ccs:voltage,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,socket:type2_combo,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage
BRG-00066,unassigned_point,node/9932668654,no,41.5262324,-8.4184026,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,2,300,160 kW,1000
BRG-00067/69 -> BRG-00067,child_point,child/node/12569781841,no,41.570037685048725,-8.427965080386276,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,16,11 kW,400,0,0,0,0,0,0,0,0
BRG-00067/69 -> BRG-00069,child_point,child/node/10005184507,no,41.570037685048725,-8.427965080386276,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,100 kW,500
BRG-00067/69 -> BRG-00069,child_point,child/node/12569781838,no,41.570037685048725,-8.427965080386276,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,100 kW,500
BRG-00067/69 -> BRG-00069,child_point,child/node/12569781839,no,41.570037685048725,-8.427965080386276,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300,150 kW,500
BRG-00067/69 -> BRG-00069,child_point,child/node/12569781840,no,41.570037685048725,-8.427965080386276,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,100 kW,500
BRG-00071,unassigned_point,node/10056853550,no,41.5602038,-8.4464607,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
BRG-00075,child_point,child/node/10202578427,no,41.55765311757669,-8.407078376518115,Powerdot,yes,Mo-Su 09:00-22:00,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,80 kW,500
BRG-00075,child_point,child/node/12693090625,no,41.55765311757669,-8.407078376518115,Powerdot,yes,Mo-Su 09:00-22:00,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,300,120 kW,500
BRG-00075,child_point,child/node/12693090626,no,41.55765311757669,-8.407078376518115,Powerdot,yes,Mo-Su 09:00-22:00,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,80 kW,500
BRG-00078/79 -> BRG-00078,child_point,child/node/10792431594,no,41.55647157443206,-8.394556305919076,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,80 kW,500
BRG-00078/79 -> BRG-00078,child_point,child/node/12728597605,no,41.55647157443206,-8.394556305919076,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,80 kW,500
BRG-00078/79 -> BRG-00079,child_point,child/node/12728597604,no,41.55647157443206,-8.394556305919076,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
BRG-00080,unassigned_point,node/11033318060,no,41.5121148,-8.4520643,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,120 kW,1000
BRG-00081,unassigned_point,node/11047843442,no,41.536047,-8.430275,Sodibraga,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,150,60 kW,1000
BRG-00082 - Mercadona,unassigned_point,node/11301244262,no,41.5558823,-8.4323157,Iberdrola,yes,09:00-21:30,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRG-00083,unassigned_point,node/11158015058,no,41.536062,-8.4303358,Sodibraga,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,150,60 kW,1000
BRG-00085,unassigned_point,node/11339406820,no,41.4879087,-8.4300559,Zunder,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,63,25 kW,1000
BRG-00086,unassigned_point,node/11404287203,no,41.5596673,-8.4182238,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
BRG-00087 - Burger King,unassigned_point,node/11404287206,no,41.5427171,-8.3987838,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
BRG-00090/93 -> BRG-00090,child_point,child/node/11831693366,no,41.446240616241155,-8.175306001005422,EcoInside,yes,24/7,Mobi.E,,,,PT,+351 22 617 33 43,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120,60 kW,1000
BRG-00090/93 -> BRG-00093,child_point,child/node/13062127847,no,41.446240616241155,-8.175306001005422,EcoInside,yes,24/7,Mobi.E,,,,PT,+351 22 617 33 43,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
BRG-00091/92,unassigned_point,node/11421521136,no,41.5289114,-8.4475177,EcoInside,yes,24/7,Mobi.E,,,,PT,+351 22 617 33 43,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,2,63,60 kW,1000
BRG-00094,unassigned_point,node/11418482352,no,41.5316252,-8.4739586,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRG-00096 - O Manel,unassigned_point,node/11234513328,no,41.5255817,-8.3999149,Iberdrola,yes,24/7,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0
BRG-00102,unassigned_point,node/11410771628,no,41.5463746,-8.2768556,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRG-00103/4,unassigned_point,node/11415569057,no,41.5488626,-8.4222815,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,1,300,120 kW,1000
BRG-00105,unassigned_point,node/11753862877,no,41.5658932,-8.4398366,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,200,90 kW,1000
BRG-00106,unassigned_point,node/9720420623,no,41.5558921,-8.3764356,EVCE,yes,24/7,Mobi.E,,Braga,,PT,+351 800 301 303,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0
BRG-00109/110 -> BRG-00109,child_point,child/node/9847826025,no,41.54632888306048,-8.41921628635759,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,1,80,30 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,80,30 kW,500
BRG-00109/110 -> BRG-00110,child_point,child/node/12857985741,no,41.54632888306048,-8.41921628635759,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,1,80,30 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,80,30 kW,500
BRG-00111 - Pingo Doce,unassigned_point,node/10040504083,no,41.5584653,-8.4167768,Atlante,yes,24/7,Mobi.E,,,,,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,150,60 kW,500
BRG-00115/116 -> BRG-00115,child_point,child/node/11599401144,no,41.547941699999996,-8.4325454,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRG-00115/116 -> BRG-00116,child_point,child/node/12949528499,no,41.547941699999996,-8.4325454,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRG-00117,unassigned_point,node/11705037617,no,41.552679,-8.3950978,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
BRG-00118,unassigned_point,node/12660830217,no,41.5371151,-8.4358665,Repsol,yes,24/7,Mobi.E,,,,,+351 800 226 624,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,150,60 kW,1000
BRG-00119,unassigned_point,node/12660830216,no,41.5371602,-8.4358182,Repsol,yes,24/7,Mobi.E,,,,,+351 800 226 624,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
BRG-00120,unassigned_point,node/9668119754,no,41.5413683,-8.4250934,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,60 kW,500
BRG-00121,unassigned_point,node/9668119755,no,41.5413266,-8.4251015,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRG-00127,unassigned_point,node/12101523366,no,41.5649216,-8.4496188,Atlante,yes,24/7,Mobi.E,,,,,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,150,60 kW,500
BRG-00128 - Staples,unassigned_point,node/12282138636,no,41.5407876,-8.3983398,EDP,yes,09:00-20:00,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,2,200,60 kW,1000
BRG-00131,unassigned_point,node/12546460676,no,41.545209,-8.4279807,Prio.E,yes,07:00-23:59,Mobi.E,,,,PT,+351 800 100 303,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,250,90 kW,1000
BRG-00132,unassigned_point,node/12546482476,no,41.5452265,-8.4279123,Prio.E,yes,07:00-23:59,Mobi.E,,,,PT,+351 800 100 303,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,250,90 kW,1000
BRG-00136,unassigned_point,node/12605308313,no,41.564719,-8.4200352,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,250,120 kW,1000
BRG-00137,unassigned_point,node/8308404028,no,41.56741,-8.400493,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
BRG-00138,unassigned_point,node/8536551682,no,41.56745,-8.400494,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
BRG-00139,unassigned_point,node/10635011296,no,41.5421503,-8.4000069,Galp Power,yes,08:00-21:30,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
BRG-00140,unassigned_point,node/10635011295,no,41.5438713,-8.4272975,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
BRG-00141,unassigned_point,node/8231975400,no,41.5594158,-8.4175041,Galp Power,yes,24/7,Mobi.E,Rua Américo Rodrigues Barbosa,Braga,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
BRG-80005,unassigned_point,node/8146818847,no,41.5463996,-8.4195536,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
BRG-80007,unassigned_point,node/8146818848,no,41.5466804,-8.4229179,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
BRG-90003,unassigned_point,node/5484497721,no,41.5493755,-8.4345261,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
BRG-90009,unassigned_point,node/8146818843,no,41.5578309,-8.3987342,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
BRG-90011,unassigned_point,node/8146818842,no,41.582572,-8.4235031,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
BRG-90014,unassigned_point,node/7133311288,no,41.5665537,-8.3979814,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.7 kW,230,0,0,0,0,0,0,0,0
BRR-00004,unassigned_point,node/8085770812,no,38.5837139,-9.044394,Mota Engil II,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 020 940,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00005,unassigned_point,node/13002755911,no,38.5836322,-9.0437423,Mota Engil II,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 020 940,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00008…11/138…141 -> BRR-00008,child_point,child/node/9432160640,no,38.66179861046306,-9.078390991388513,Maksu Services,yes,24/7,Mobi.E,,,,PT,+351 800 910 124,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00008…11/138…141 -> BRR-00009,child_point,child/node/12645697388,no,38.66179861046306,-9.078390991388513,Maksu Services,yes,24/7,Mobi.E,,,,PT,+351 800 910 124,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00008…11/138…141 -> BRR-00010,child_point,child/node/12645697387,no,38.66179861046306,-9.078390991388513,Maksu Services,yes,24/7,Mobi.E,,,,PT,+351 800 910 124,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00008…11/138…141 -> BRR-00011,child_point,child/node/12645697386,no,38.66179861046306,-9.078390991388513,Maksu Services,yes,24/7,Mobi.E,,,,PT,+351 800 910 124,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00008…11/138…141 -> BRR-00138,child_point,child/node/12645697385,no,38.66179861046306,-9.078390991388513,Maksu Services,yes,24/7,Mobi.E,,,,PT,+351 800 910 124,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00008…11/138…141 -> BRR-00139,child_point,child/node/12645697384,no,38.66179861046306,-9.078390991388513,Maksu Services,yes,24/7,Mobi.E,,,,PT,+351 800 910 124,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00008…11/138…141 -> BRR-00140,child_point,child/node/12645697383,no,38.66179861046306,-9.078390991388513,Maksu Services,yes,24/7,Mobi.E,,,,PT,+351 800 910 124,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00008…11/138…141 -> BRR-00141,child_point,child/node/12645697382,no,38.66179861046306,-9.078390991388513,Maksu Services,yes,24/7,Mobi.E,,,,PT,+351 800 910 124,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00012…14 -> BRR-00012,child_point,child/node/9281258490,no,38.656222050000004,-9.056858549999998,Helexia II,yes,24/7,Mobi.E,,,,PT,+351 210 181 157,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00012…14 -> BRR-00013,child_point,child/node/12650654451,no,38.656222050000004,-9.056858549999998,Helexia II,yes,24/7,Mobi.E,,,,PT,+351 210 181 157,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00012…14 -> BRR-00014,child_point,child/node/12650654450,no,38.656222050000004,-9.056858549999998,Helexia II,yes,24/7,Mobi.E,,,,PT,+351 210 181 157,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00016,unassigned_point,node/9630154649,no,38.6423171,-9.0603468,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,200,90 kW,1000
BRR-00017,unassigned_point,node/9847616307,no,38.5809091,-9.0430764,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,2,200,120 kW,1000
BRR-00019,unassigned_point,node/10061965477,no,38.6240814,-9.0474853,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00020,unassigned_point,node/10224578352,no,38.6570744,-9.0600004,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00021,unassigned_point,node/10061965476,no,38.6268192,-9.0343619,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00022,unassigned_point,node/10061965479,no,38.6532689,-9.0489645,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00023,unassigned_point,node/10061965478,no,38.6553562,-9.0764015,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00024,unassigned_point,node/10134101805,no,38.5948726,-9.0447119,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00025,unassigned_point,node/9919933655,no,38.6620174,-9.0780435,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00026,unassigned_point,node/10218080758,no,38.5814504,-9.042843,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00027,unassigned_point,node/10727506838,no,38.665086,-9.0763601,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00028,unassigned_point,node/10792390028,no,38.649599,-9.0473163,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00029,unassigned_point,node/10809116537,no,38.652708,-9.060147,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00030,unassigned_point,node/10634795502,no,38.6339848,-9.0423241,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00035,unassigned_point,node/10827932893,no,38.652266,-9.0665903,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00036,unassigned_point,node/10827932892,no,38.6495632,-9.0645984,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00037,unassigned_point,node/10827932891,no,38.6537329,-9.0729879,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00038,unassigned_point,node/10827932890,no,38.6452067,-9.0530131,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00039,unassigned_point,node/10827988414,no,38.6428923,-9.0518932,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00040,unassigned_point,node/10827988413,no,38.6408825,-9.0578543,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00041,unassigned_point,node/10827988412,no,38.6499684,-9.0631339,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00042,unassigned_point,node/10827988411,no,38.6564896,-9.0685397,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00043,unassigned_point,node/10827988410,no,38.6615393,-9.0634579,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00045,unassigned_point,node/10827988408,no,38.6669418,-9.0542264,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00046,unassigned_point,node/10827988407,no,38.651806,-9.055217,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00048,unassigned_point,node/10827988405,no,38.6445452,-9.0628168,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00049,unassigned_point,node/10827980704,no,38.6453635,-9.0574373,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00050,unassigned_point,node/10828006288,no,38.6366956,-9.0467175,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00051,unassigned_point,node/10828006287,no,38.646098,-9.054752,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00052,unassigned_point,node/10828006286,no,38.6467182,-9.0642049,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
BRR-00053,unassigned_point,node/10828006285,no,38.650214,-9.055092,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
